start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,50.65077,0.66895,1.52557,1.28,1
,,,,,,,55.89146,0.78256,1.44117,1.36,2
,,,,,,,53.36781,0.81002,1.55316,1.12,3
,,,,,,,51.95801,0.6332,1.43482,1.6,4
,,,,,,,57.42411,0.87209,1.56493,1.64,5
,,,,,,,58.94241,0.819,1.64461,1.48,6
,,,,,,,58.74255,0.79051,1.49634,1.48,7
,,,,,,,55.47043,0.82898,1.77286,1.32,8
,,,,,,,52.81116,0.83233,1.50835,1.08,9
,,,,,,,45.90059,0.88511,1.48683,1.24,10
,,,,,,,50.26495,0.7013,1.63422,1.16,11
,,,,,,,52.7054,0.73453,1.67179,1.44,12
,,,,,,,54.99123,0.67681,1.38838,1.64,13
,,,,,,,50.42762,0.70262,1.51961,1.64,14
,,,,,,,47.53537,0.66381,1.4304,1.72,15
,,,,,,,52.60521,0.61286,1.26323,1.84,16
,,,,,,,49.82604,0.63954,1.47583,1.4,17
,,,,,,,57.72488,0.73554,1.88178,1.56,18
,,,,,,,54.03279,1.06307,1.8053,1.48,19
,,,,,,,52.94619,0.76099,1.47502,1.52,20
,,,,,,,49.39616,0.67279,1.45136,1.6,21
,,,,,,,58.87101,0.81914,1.53108,1.52,22
,,,,,,,61.54417,0.75886,1.62256,1.68,23
,,,,,,,59.03846,0.7946,1.80671,1.44,24
,,,,,,,53.22443,0.76877,1.49565,1.24,25
,,,,,,,54.04933,0.97634,1.49032,1.12,26
,,,,,,,59.63718,1.04235,1.69603,1.16,27
,,,,,,,69.72144,1.01661,2.07357,1.36,28
,,,,,,,39.30929,0.73339,1.29274,1.0,29
,,,,,,,45.67826,0.94075,1.46626,1.16,30
,,,,,,,42.04398,0.80203,1.35914,1.04,31
,,,,,,,49.69586,0.78803,1.38928,1.12,32
,,,,,,,51.22025,0.73484,1.60096,1.08,33
,,,,,,,44.12968,0.75828,1.51588,0.96,34
,,,,,,,41.79399,0.67785,1.41364,0.88,35
,,,,,,,50.86113,0.88505,1.66263,0.96,36
,,,,,,,44.23963,0.80317,1.45807,0.88,37
,,,,,,,45.96147,0.82761,1.61528,0.96,38
,,,,,,,47.37632,1.02168,1.5243,0.96,39
,,,,,,,43.14577,0.77238,1.64428,1.0,40
,,,,,,,49.9557,0.69363,1.383,1.04,41
,,,,,,,51.78431,0.80995,1.51396,1.08,42
,,,,,,,45.74156,0.80586,1.30261,1.04,43
,,,,,,,47.72192,0.92045,1.55297,1.04,44
,,,,,,,49.3989,0.97785,1.35262,0.96,45
,,,,,,,46.5407,0.90596,1.65658,0.92,46
,,,,,,,47.32255,0.83441,1.34412,0.96,47
,,,,,,,44.72138,0.77796,1.3695,0.88,48
,,,,,,,45.12202,0.92448,1.32599,0.96,49
,,,,,,,49.35549,0.79514,1.32675,1.0,50
,,,,,,,50.58268,0.9149,1.60355,1.0,51
,,,,,,,44.1006,0.853,1.54841,0.84,52
,,,,,,,45.53595,0.89043,1.53473,0.84,53
,,,,,,,46.96933,0.70813,1.49111,0.92,54
,,,,,,,44.3448,0.7714,1.42199,0.84,55
,,,,,,,44.26417,0.70821,1.40962,0.92,56
,,,,,,,44.36141,0.7839,1.42791,0.96,57
,,,,,,,39.61295,0.76511,1.44108,0.92,58
,,,,,,,43.66855,0.84552,1.38008,1.04,59
,,,,,,,50.1245,0.72652,1.53312,1.2,60
,,,,,,,47.16406,0.6908,1.45116,1.04,61
,,,,,,,45.32724,0.85387,1.42558,0.92,62
,,,,,,,45.7197,0.9905,1.38665,1.04,63
,,,,,,,48.73291,0.8448,1.56766,1.0,64
,,,,,,,41.82211,0.7168,1.4402,0.88,65
,,,,,,,47.70876,0.82026,1.38726,0.96,66
,,,,,,,48.82658,0.73079,1.32145,1.0,67
,,,,,,,40.94344,0.78715,1.33964,0.88,68
,,,,,,,47.35041,0.81552,1.60037,0.96,69
,,,,,,,44.38124,0.76424,1.32735,0.8,70
,,,,,,,42.60975,0.7926,1.39752,0.88,71
,,,,,,,47.25841,0.96242,1.60477,0.88,72
,,,,,,,42.33232,0.89526,1.43792,0.88,73
,,,,,,,48.99846,0.73968,1.29145,0.96,74
,,,,,,,50.87217,0.86918,1.38185,1.04,75
,,,,,,,44.17048,0.91029,1.47467,0.96,76
,,,,,,,47.92153,1.05126,1.61909,1.0,77
,,,,,,,44.09686,0.68002,1.42823,0.92,78
,,,,,,,43.83296,0.82186,1.39674,0.96,79
,,,,,,,46.58546,0.66673,1.58782,0.96,80
,,,,,,,47.38532,0.82916,1.45316,0.96,81
,,,,,,,46.39724,0.75611,1.49377,0.92,82
,,,,,,,51.06828,0.76198,1.51328,1.0,83
,,,,,,,47.14355,0.70152,1.48122,0.92,84
,,,,,,,47.07529,0.74734,1.50391,0.88,85
,,,,,,,47.89648,1.05294,1.63008,0.96,86
