start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,40.85813,0.595,1.47374,1.36,1
,,,,,,,39.03334,0.57502,1.24106,1.32,2
,,,,,,,37.22776,0.63595,1.47193,1.12,3
,,,,,,,40.60926,0.45379,1.40963,1.68,4
,,,,,,,39.20676,0.4554,1.36054,1.64,5
,,,,,,,40.74506,0.50914,1.3925,1.52,6
,,,,,,,43.02936,0.51354,1.23834,1.56,7
,,,,,,,40.05418,0.533,1.4524,1.4,8
,,,,,,,37.6707,0.67115,1.3056,1.08,9
,,,,,,,35.33425,0.53556,1.22589,1.28,10
,,,,,,,37.9095,0.58957,1.36351,1.2,11
,,,,,,,39.43346,0.49346,1.38764,1.52,12
