start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,50.65077,0.77154,1.72405,1.28,1
,,,,,,,55.89146,0.83794,2.02304,1.36,2
,,,,,,,53.36781,0.82317,1.76659,1.12,3
,,,,,,,51.95801,0.72832,1.70551,1.6,4
,,,,,,,57.42411,0.85969,1.99748,1.64,5
,,,,,,,58.94241,0.87512,2.21666,1.48,6
,,,,,,,58.74255,0.81176,2.79016,1.48,7
,,,,,,,55.47043,0.82991,2.53513,1.32,8
,,,,,,,52.81116,0.86225,1.78364,1.08,9
,,,,,,,45.90059,0.91583,2.08998,1.24,10
,,,,,,,50.26495,0.73221,2.17664,1.16,11
,,,,,,,52.7054,0.72808,1.81547,1.44,12
,,,,,,,54.99123,0.67899,1.59126,1.64,13
,,,,,,,50.42762,0.69667,2.47274,1.64,14
,,,,,,,47.53537,0.73791,1.47597,1.72,15
,,,,,,,52.60521,0.6893,1.77804,1.84,16
,,,,,,,49.82604,0.67264,2.20163,1.4,17
,,,,,,,57.72488,0.75188,2.30953,1.56,18
,,,,,,,54.03279,1.07895,2.78192,1.48,19
,,,,,,,52.94619,0.88378,2.21379,1.52,20
,,,,,,,49.39616,0.71875,2.04485,1.6,21
,,,,,,,58.87101,0.86606,1.80565,1.52,22
,,,,,,,61.54417,0.82079,1.96427,1.68,23
,,,,,,,59.03846,0.85985,2.92732,1.44,24
,,,,,,,53.22443,0.81141,2.01756,1.24,25
,,,,,,,54.04933,1.05558,1.91098,1.12,26
,,,,,,,59.63718,1.07229,2.9255,1.16,27
,,,,,,,69.72144,1.04465,2.88484,1.36,28
,,,,,,,39.30929,0.78483,2.11145,1.0,29
,,,,,,,45.67826,1.00012,1.78764,1.16,30
,,,,,,,42.04398,0.83805,3.08293,1.04,31
,,,,,,,49.69586,0.81196,1.84541,1.12,32
,,,,,,,51.22025,0.8431,2.37506,1.08,33
,,,,,,,44.12968,0.8361,2.18419,0.96,34
,,,,,,,41.79399,0.78658,2.18189,0.88,35
,,,,,,,50.86113,0.93426,2.27236,0.96,36
,,,,,,,44.23963,0.82165,1.72275,0.88,37
,,,,,,,45.96147,0.89908,2.02114,0.96,38
,,,,,,,47.37632,1.07289,2.80281,0.96,39
,,,,,,,43.14577,0.77558,1.9362,1.0,40
,,,,,,,49.9557,0.77881,1.83293,1.04,41
,,,,,,,51.78431,0.84662,1.82638,1.08,42
,,,,,,,45.74156,0.82235,1.50141,1.04,43
,,,,,,,47.72192,1.01087,2.61125,1.04,44
,,,,,,,49.3989,0.98703,1.5272,0.96,45
,,,,,,,46.5407,0.92895,2.11793,0.92,46
,,,,,,,47.32255,0.85054,1.76298,0.96,47
,,,,,,,44.72138,0.80385,2.00752,0.88,48
,,,,,,,45.12202,0.93195,1.76777,0.96,49
,,,,,,,49.35549,0.80647,1.32963,1.0,50
,,,,,,,50.58268,0.99029,1.75229,1.0,51
,,,,,,,44.1006,0.88204,2.49003,0.84,52
,,,,,,,45.53595,0.90856,2.12756,0.84,53
,,,,,,,46.96933,0.75752,1.96087,0.92,54
,,,,,,,44.3448,0.79723,1.93917,0.84,55
,,,,,,,44.26417,0.72522,1.82593,0.92,56
,,,,,,,44.36141,0.79732,1.75298,0.96,57
,,,,,,,39.61295,0.84872,1.6127,0.92,58
,,,,,,,43.66855,0.87208,2.10314,1.04,59
,,,,,,,50.1245,0.76584,2.63964,1.2,60
,,,,,,,47.16406,0.74649,1.81864,1.04,61
,,,,,,,45.32724,0.9057,1.67035,0.92,62
,,,,,,,45.7197,1.02698,1.58209,1.04,63
,,,,,,,48.73291,0.95028,2.87116,1.0,64
