start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,50.68,0.97,1.43,1.28,1
,,,,,,,56.67,1.02,1.4,1.36,2
,,,,,,,53.5,1.01,1.47,1.12,3
,,,,,,,52.2,1.03,1.42,1.6,4
,,,,,,,57.62,1.04,1.46,1.64,5
,,,,,,,58.95,1.03,1.52,1.48,6
,,,,,,,58.71,0.99,1.39,1.48,7
,,,,,,,55.78,1.03,1.52,1.32,8
,,,,,,,52.95,1.03,1.45,1.08,9
,,,,,,,45.87,1.03,1.41,1.24,10
,,,,,,,50.4,0.97,1.47,1.16,11
,,,,,,,52.89,0.99,1.5,1.44,12
,,,,,,,54.88,0.97,1.35,1.64,13
,,,,,,,52.67,0.98,1.41,1.68,14
,,,,,,,47.54,0.97,1.39,1.72,15
,,,,,,,52.85,0.93,1.25,1.84,16
,,,,,,,50.16,0.94,1.37,1.4,17
,,,,,,,57.79,0.99,1.47,1.56,18
,,,,,,,54.16,1.1,1.58,1.48,19
,,,,,,,52.92,1.02,1.43,1.52,20
,,,,,,,49.62,1.0,1.42,1.6,21
,,,,,,,59.25,0.98,1.53,1.52,22
,,,,,,,61.72,0.97,1.46,1.68,23
,,,,,,,59.12,0.99,1.59,1.44,24
,,,,,,,53.28,1.0,1.42,1.24,25
,,,,,,,54.39,1.08,1.46,1.12,26
,,,,,,,59.9,1.02,1.55,1.16,27
,,,,,,,69.87,1.05,1.58,1.36,28
,,,,,,,39.35,0.98,1.28,1.0,29
,,,,,,,45.43,1.0,1.37,1.16,30
,,,,,,,41.95,0.98,1.38,1.04,31
,,,,,,,49.88,1.01,1.37,1.12,32
,,,,,,,50.73,1.02,1.48,1.08,33
,,,,,,,44.33,1.1,1.4,0.96,34
,,,,,,,39.54,0.91,1.35,0.88,35
,,,,,,,50.14,1.12,1.52,0.96,36
,,,,,,,44.24,1.01,1.42,0.88,37
,,,,,,,45.67,1.01,1.48,0.96,38
,,,,,,,47.52,1.08,1.47,0.96,39
,,,,,,,43.42,1.01,1.41,1.0,40
,,,,,,,50.25,0.96,1.36,1.04,41
,,,,,,,51.93,1.05,1.41,1.08,42
,,,,,,,45.91,1.02,1.32,1.04,43
,,,,,,,43.01,0.93,1.44,1.04,44
,,,,,,,49.29,1.06,1.37,0.96,45
,,,,,,,46.02,0.99,1.45,0.92,46
,,,,,,,47.39,0.99,1.34,1.04,47
,,,,,,,44.63,1.03,1.35,0.88,48
,,,,,,,45.11,1.04,1.34,0.96,49
,,,,,,,49.31,1.02,1.35,1.0,50
,,,,,,,50.85,1.06,1.46,1.0,51
,,,,,,,44.31,1.02,1.42,0.84,52
,,,,,,,45.37,1.04,1.45,0.84,53
,,,,,,,46.79,0.97,1.4,0.92,54
,,,,,,,44.3,1.0,1.39,0.84,55
,,,,,,,43.88,0.98,1.4,0.92,56
,,,,,,,44.42,1.0,1.41,0.92,57
,,,,,,,39.93,1.01,1.41,0.92,58
,,,,,,,43.92,1.02,1.37,1.0,59
,,,,,,,50.17,0.95,1.41,1.2,60
,,,,,,,47.32,0.96,1.4,1.04,61
,,,,,,,45.18,1.0,1.38,0.92,62
,,,,,,,45.53,1.06,1.37,1.08,63
,,,,,,,48.28,1.0,1.45,1.0,64
,,,,,,,41.73,0.97,1.33,0.88,65
,,,,,,,47.4,1.07,1.39,0.96,66
,,,,,,,48.97,0.99,1.31,1.0,67
,,,,,,,41.01,1.0,1.35,0.88,68
,,,,,,,47.13,1.0,1.42,0.92,69
,,,,,,,44.36,0.98,1.33,0.8,70
,,,,,,,42.64,1.03,1.39,0.88,71
,,,,,,,47.27,1.01,1.48,0.88,72
,,,,,,,41.42,1.03,1.36,0.84,73
,,,,,,,47.88,1.03,1.34,0.92,74
,,,,,,,50.68,1.02,1.38,1.04,75
,,,,,,,40.24,1.04,1.31,0.96,76
,,,,,,,48.39,1.06,1.39,1.0,77
,,,,,,,44.37,0.94,1.36,0.92,78
,,,,,,,43.44,0.94,1.35,0.96,79
,,,,,,,47.35,1.04,1.48,0.96,80
,,,,,,,47.26,1.03,1.4,0.96,81
,,,,,,,46.4,1.0,1.43,0.92,82
,,,,,,,51.39,0.98,1.42,1.0,83
,,,,,,,47.48,0.97,1.4,0.92,84
,,,,,,,46.82,0.97,1.44,0.88,85
,,,,,,,47.05,0.94,1.47,0.96,86
,,,,,,,46.94,0.94,1.41,0.96,87
,,,,,,,46.07,1.0,1.43,0.84,88
,,,,,,,42.74,1.02,1.38,0.84,89
,,,,,,,50.14,1.08,1.39,0.88,90
,,,,,,,44.15,1.03,1.43,0.92,91
,,,,,,,48.62,1.01,1.36,1.04,92
,,,,,,,51.12,0.98,1.37,1.0,93
,,,,,,,47.13,0.97,1.34,0.96,94
,,,,,,,47.32,0.95,1.48,0.92,95
,,,,,,,48.81,1.06,1.46,0.88,96
,,,,,,,50.95,0.98,1.49,1.08,97
,,,,,,,47.76,1.0,1.47,1.04,98
,,,,,,,48.32,0.96,1.43,0.96,99
,,,,,,,52.49,1.04,1.5,1.08,100
