start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,52.93362,0.74518,1.82985,1.36,1
,,,,,,,53.97566,0.74637,1.64421,1.44,2
,,,,,,,48.24772,0.96368,1.7597,1.16,3
,,,,,,,51.97239,0.74302,1.85765,1.68,4
,,,,,,,49.21807,0.7373,1.79835,1.64,5
,,,,,,,50.14855,0.69345,1.6549,1.6,6
,,,,,,,52.84434,0.73073,1.49276,1.56,7
,,,,,,,44.61727,0.61696,1.6435,1.44,8
,,,,,,,50.42322,0.71182,1.6839,1.2,9
,,,,,,,48.68262,0.72928,1.87203,1.4,10
,,,,,,,51.30291,0.70941,1.69336,1.28,11
,,,,,,,46.02585,0.68948,1.55692,1.6,12
,,,,,,,48.25426,0.55287,2.22295,1.8,13
,,,,,,,47.98486,0.61614,1.4946,1.8,14
,,,,,,,51.173,0.65707,1.59947,1.84,15
,,,,,,,49.63876,0.65365,1.39272,1.92,16
,,,,,,,45.77511,0.63297,1.39738,1.48,17
,,,,,,,50.89421,0.65349,1.55003,1.64,18
,,,,,,,45.19703,0.69159,1.86438,1.56,19
,,,,,,,53.50882,0.73991,1.71215,1.64,20
,,,,,,,47.86116,0.66182,1.79193,1.72,21
,,,,,,,51.98788,0.71888,1.61033,1.6,22
,,,,,,,56.66334,0.78354,1.87107,1.8,23
,,,,,,,53.83137,0.96769,1.6145,1.6,24
,,,,,,,55.66324,0.76971,1.67503,1.36,25
,,,,,,,48.54324,0.7933,1.73203,1.2,26
,,,,,,,62.24471,0.93244,1.73655,1.24,27
,,,,,,,63.71136,0.95441,1.85233,1.48,28
,,,,,,,37.8622,0.57719,1.85173,1.16,29
,,,,,,,40.29129,0.72429,1.61622,1.12,30
,,,,,,,37.37179,0.77134,1.67018,1.16,31
,,,,,,,40.97007,0.67714,1.56821,1.16,32
,,,,,,,44.71633,0.73076,1.47367,1.12,33
,,,,,,,47.39486,0.7813,1.7267,1.04,34
,,,,,,,39.49987,0.71146,1.57737,1.0,35
,,,,,,,42.44142,0.84771,2.20669,0.96,36
,,,,,,,33.44288,0.66798,2.16991,0.92,37
,,,,,,,42.48833,0.69435,1.64193,1.08,38
,,,,,,,39.2926,0.70633,1.77781,1.0,39
,,,,,,,40.4996,0.74671,1.99836,1.08,40
,,,,,,,46.40871,0.69583,1.98218,1.12,41
,,,,,,,35.35583,0.63557,1.6488,1.08,42
,,,,,,,36.82743,0.61573,1.83475,1.12,43
,,,,,,,42.4275,0.76269,1.70572,1.12,44
,,,,,,,38.41124,0.69049,1.46189,1.0,45
,,,,,,,44.41522,0.67124,1.68014,1.04,46
,,,,,,,44.87891,0.67339,1.45465,1.0,47
,,,,,,,39.75354,0.72146,1.54216,0.96,48
,,,,,,,40.40166,0.66025,1.78708,1.04,49
,,,,,,,39.57731,0.64678,2.10959,1.04,50
,,,,,,,44.07172,0.79225,1.60804,1.0,51
,,,,,,,33.61244,0.58268,1.51059,0.84,52
,,,,,,,32.88802,0.72645,1.82086,0.88,53
,,,,,,,39.4873,0.70983,1.75589,0.96,54
,,,,,,,41.62978,0.62362,1.57968,0.92,55
,,,,,,,42.67172,0.65328,1.81716,1.04,56
,,,,,,,38.97211,0.74205,1.65011,1.04,57
,,,,,,,37.3835,0.75063,1.77268,0.96,58
,,,,,,,38.5193,0.68035,2.13241,1.0,59
,,,,,,,45.09321,0.90068,1.59609,1.16,60
,,,,,,,41.6881,0.72939,1.8304,1.12,61
,,,,,,,38.58225,0.5809,1.73528,1.0,62
,,,,,,,39.99518,0.73872,1.70156,1.12,63
,,,,,,,42.59704,0.699,1.9051,1.08,64
,,,,,,,37.27094,0.76554,1.48937,0.96,65
,,,,,,,38.57864,0.6935,1.74758,1.0,66
,,,,,,,41.08872,0.73862,1.38379,1.0,67
,,,,,,,40.08135,0.73044,1.926,0.92,68
,,,,,,,37.44764,0.67317,1.9838,0.96,69
,,,,,,,44.13121,0.79331,2.08914,0.92,70
,,,,,,,40.01318,0.73522,1.86086,1.0,71
,,,,,,,39.76329,0.73154,2.11918,0.92,72
,,,,,,,38.73182,0.69625,1.87197,0.92,73
,,,,,,,43.62955,0.72607,1.69145,1.0,74
,,,,,,,42.08903,0.69849,1.89374,1.08,75
