start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,49.71,0.96,1.44,1.28,1
,,,,,,,55.89,1.01,1.41,1.36,2
,,,,,,,52.62,1.01,1.5,1.12,3
,,,,,,,51.28,1.02,1.44,1.6,4
,,,,,,,56.86,1.03,1.49,1.64,5
,,,,,,,58.24,1.02,1.55,1.48,6
,,,,,,,57.98,0.99,1.4,1.48,7
,,,,,,,54.97,1.02,1.55,1.32,8
,,,,,,,52.05,1.02,1.47,1.08,9
,,,,,,,44.76,1.02,1.42,1.24,10
,,,,,,,49.43,0.96,1.49,1.16,11
,,,,,,,51.98,0.99,1.53,1.44,12
,,,,,,,54.04,0.97,1.36,1.64,13
,,,,,,,51.76,0.97,1.42,1.68,14
,,,,,,,46.48,0.97,1.4,1.72,15
,,,,,,,51.95,0.93,1.23,1.84,16
,,,,,,,49.18,0.94,1.38,1.4,17
,,,,,,,57.04,0.99,1.5,1.56,18
,,,,,,,53.3,1.09,1.62,1.48,19
,,,,,,,52.02,1.01,1.44,1.52,20
,,,,,,,48.62,0.99,1.44,1.6,21
,,,,,,,58.54,1.0,1.56,1.52,22
,,,,,,,61.09,0.97,1.48,1.68,23
,,,,,,,58.4,0.98,1.64,1.44,24
,,,,,,,52.39,0.99,1.43,1.24,25
,,,,,,,53.54,1.07,1.48,1.12,26
,,,,,,,59.21,1.01,1.59,1.16,27
,,,,,,,69.48,1.03,1.63,1.36,28
,,,,,,,38.04,0.98,1.27,1.0,29
,,,,,,,44.31,1.0,1.37,1.16,30
,,,,,,,40.72,0.97,1.39,1.04,31
,,,,,,,48.89,1.0,1.38,1.12,32
,,,,,,,49.77,1.01,1.51,1.08,33
,,,,,,,43.17,1.09,1.42,0.96,34
,,,,,,,38.23,0.91,1.36,0.88,35
,,,,,,,49.15,1.11,1.55,0.96,36
,,,,,,,43.08,1.01,1.43,0.88,37
,,,,,,,44.55,1.0,1.51,0.96,38
,,,,,,,46.46,1.07,1.49,0.96,39
,,,,,,,42.23,1.0,1.43,1.0,40
,,,,,,,49.27,0.95,1.37,1.04,41
,,,,,,,51.0,1.04,1.42,1.08,42
,,,,,,,44.79,1.01,1.32,1.04,43
,,,,,,,41.81,0.92,1.46,1.04,44
,,,,,,,48.28,1.05,1.38,0.96,45
,,,,,,,44.92,0.99,1.47,0.92,46
,,,,,,,46.32,0.98,1.34,1.04,47
,,,,,,,43.48,1.02,1.35,0.88,48
,,,,,,,43.97,1.03,1.34,0.96,49
,,,,,,,48.3,1.01,1.36,1.0,50
,,,,,,,49.89,1.05,1.48,1.0,51
,,,,,,,43.15,1.01,1.43,0.84,52
,,,,,,,44.24,1.03,1.47,0.84,53
,,,,,,,45.7,0.97,1.42,0.92,54
,,,,,,,43.14,0.99,1.4,0.84,55
,,,,,,,42.71,0.98,1.41,0.92,56
,,,,,,,43.26,0.99,1.42,0.92,57
,,,,,,,38.64,1.0,1.42,0.92,58
,,,,,,,42.75,1.01,1.38,1.0,59
,,,,,,,49.19,0.95,1.42,1.2,60
,,,,,,,46.25,0.95,1.41,1.04,61
,,,,,,,44.05,0.99,1.39,0.92,62
,,,,,,,44.41,1.05,1.38,1.08,63
,,,,,,,47.24,0.99,1.47,1.0,64
,,,,,,,40.49,0.97,1.33,0.88,65
,,,,,,,46.33,1.06,1.4,0.96,66
,,,,,,,47.96,0.98,1.3,1.0,67
,,,,,,,39.75,1.0,1.36,0.88,68
,,,,,,,46.05,0.99,1.43,0.92,69
,,,,,,,43.2,0.97,1.33,0.8,70
,,,,,,,41.42,1.02,1.4,0.88,71
,,,,,,,46.2,1.0,1.5,0.88,72
,,,,,,,40.18,1.02,1.37,0.84,73
,,,,,,,46.83,1.02,1.34,0.92,74
,,,,,,,49.72,1.01,1.38,1.04,75
,,,,,,,38.95,1.03,1.31,0.96,76
,,,,,,,47.35,1.05,1.4,1.0,77
,,,,,,,43.21,0.93,1.37,0.92,78
,,,,,,,42.26,0.94,1.35,0.96,79
,,,,,,,46.28,1.03,1.51,0.96,80
,,,,,,,46.19,1.02,1.41,0.96,81
,,,,,,,45.3,0.99,1.45,0.92,82
,,,,,,,50.44,0.97,1.43,1.0,83
,,,,,,,46.42,0.96,1.41,0.92,84
,,,,,,,45.73,0.97,1.45,0.88,85
,,,,,,,45.98,0.94,1.49,0.96,86
,,,,,,,45.86,0.94,1.42,0.96,87
,,,,,,,44.96,0.99,1.45,0.84,88
,,,,,,,41.54,1.01,1.39,0.84,89
,,,,,,,49.16,1.07,1.4,0.88,90
,,,,,,,42.98,1.02,1.45,0.92,91
,,,,,,,47.59,1.0,1.36,1.04,92
,,,,,,,50.17,0.97,1.38,1.0,93
,,,,,,,46.05,0.97,1.34,0.96,94
,,,,,,,46.25,0.95,1.51,0.92,95
,,,,,,,47.79,1.05,1.48,0.88,96
,,,,,,,50.0,0.98,1.52,1.08,97
,,,,,,,46.7,1.0,1.49,1.04,98
,,,,,,,47.28,0.96,1.45,0.96,99
,,,,,,,51.58,1.03,1.52,1.08,100
