start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,60.73393,0.93795,1.63427,1.32,1
,,,,,,,55.74542,0.79468,1.62281,1.32,2
,,,,,,,55.24169,0.93068,1.47824,1.08,3
,,,,,,,60.37271,0.86065,1.54552,1.6,4
,,,,,,,55.11917,0.87796,1.56294,1.68,5
,,,,,,,54.15099,0.74929,1.37073,1.56,6
,,,,,,,53.79123,0.90625,1.78082,1.44,7
,,,,,,,51.78784,0.80046,1.49399,1.36,8
,,,,,,,50.49253,0.93574,1.78945,1.08,9
,,,,,,,51.68186,0.79815,1.586,1.36,10
,,,,,,,52.03649,0.8029,1.18924,1.2,11
,,,,,,,51.93221,0.74032,1.53285,1.44,12
,,,,,,,54.9723,0.67917,1.57882,1.72,13
,,,,,,,52.76719,0.6985,1.338,1.68,14
,,,,,,,50.27695,0.78331,1.45542,1.72,15
,,,,,,,47.42741,0.62781,1.25675,1.8,16
,,,,,,,48.41394,0.64087,1.42429,1.44,17
,,,,,,,53.09699,0.70286,1.36692,1.56,18
,,,,,,,50.02916,0.67717,1.94513,1.48,19
,,,,,,,51.38913,0.86578,1.64527,1.52,20
,,,,,,,53.00132,0.76931,1.60467,1.6,21
,,,,,,,57.24074,0.816,1.45373,1.52,22
,,,,,,,61.70023,0.81934,1.38557,1.68,23
,,,,,,,60.25029,0.93048,1.613,1.4,24
,,,,,,,57.27044,0.96486,1.57754,1.28,25
,,,,,,,52.96427,1.04545,1.78999,1.12,26
,,,,,,,60.99241,1.02757,1.85588,1.12,27
,,,,,,,65.56136,1.0125,1.96768,1.44,28
,,,,,,,33.55749,0.77737,1.52915,1.04,29
,,,,,,,38.30913,0.7432,1.56808,1.08,30
,,,,,,,35.56589,0.65912,1.60151,1.04,31
,,,,,,,46.62496,0.73793,1.5616,1.08,32
,,,,,,,42.8406,0.79393,1.79296,1.08,33
,,,,,,,44.39928,0.95305,1.57136,1.0,34
,,,,,,,46.18893,0.85598,1.4777,0.96,35
,,,,,,,41.10895,0.84649,1.32559,0.88,36
,,,,,,,38.59247,0.79467,1.69989,0.88,37
,,,,,,,40.9613,0.7591,1.40351,0.96,38
,,,,,,,43.6559,0.76144,1.48801,0.92,39
,,,,,,,43.61122,0.80821,1.47834,1.0,40
,,,,,,,49.95874,0.84168,1.45931,1.04,41
,,,,,,,40.78951,0.75592,1.64361,1.0,42
,,,,,,,41.87503,0.70549,1.26579,1.08,43
,,,,,,,42.11976,0.8673,1.36115,1.0,44
,,,,,,,45.7192,0.88545,1.42968,0.96,45
,,,,,,,41.3057,0.85054,1.44115,0.96,46
,,,,,,,42.53507,0.75475,1.4381,0.96,47
,,,,,,,36.77098,0.75717,1.36828,0.88,48
,,,,,,,41.70628,0.70265,1.44369,0.96,49
,,,,,,,42.98765,0.72423,1.59209,1.0,50
,,,,,,,48.08637,0.89115,1.60839,0.92,51
,,,,,,,33.62313,0.69235,1.75454,0.8,52
,,,,,,,37.92378,0.7809,1.36691,0.8,53
,,,,,,,44.80312,0.78253,1.31479,0.92,54
,,,,,,,40.47785,0.75015,1.43197,0.84,55
,,,,,,,41.81676,0.90114,1.40681,0.96,56
,,,,,,,36.71783,0.75607,1.39393,0.96,57
,,,,,,,37.12253,0.68796,1.1839,0.96,58
,,,,,,,38.56617,0.87587,1.4236,0.96,59
,,,,,,,50.60234,0.85252,1.55221,1.16,60
,,,,,,,45.98563,0.94691,1.50548,1.08,61
,,,,,,,42.89301,0.94366,1.63914,0.92,62
,,,,,,,45.69797,0.85629,1.46848,1.04,63
,,,,,,,43.72704,0.81036,1.55254,1.0,64
,,,,,,,33.90155,0.72021,1.69876,0.88,65
,,,,,,,36.31089,0.74112,1.4441,0.92,66
,,,,,,,44.46025,0.82395,1.5017,0.96,67
