start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-10T09:33:07.219615,26,male,1.84,0.819,66.592,162.249,40.324,0.617,1.269,1.4,1
2025-04-10T09:33:37.426688,26,male,1.84,0.819,66.823,166.406,42.115,0.585,1.317,1.52,2
2025-04-10T09:34:14.416964,26,male,1.84,0.819,69.355,169.463,42.511,0.671,1.487,1.32,3
2025-04-10T09:35:07.795956,26,male,1.84,0.819,67.57,163.932,40.955,0.483,1.374,1.8,4
2025-04-10T09:35:44.223132,26,male,1.84,0.819,68.47,164.93,41.142,0.488,1.476,1.76,5
2025-04-10T09:36:19.134437,26,male,1.84,0.819,66.05,163.064,41.058,0.515,1.489,1.72,6
2025-04-10T09:36:56.445933,26,male,1.84,0.819,66.7,168.269,43.385,0.539,1.379,1.68,7
2025-04-10T09:37:41.020031,26,male,1.84,0.819,75.053,166.395,38.782,0.522,1.442,1.56,8
2025-04-10T09:38:15.460092,26,male,1.84,0.819,70.465,169.548,42.168,0.697,1.426,1.24,9
2025-04-10T09:38:56.200076,26,male,1.84,0.819,70.911,165.276,40.234,0.582,1.449,1.44,10
2025-04-10T09:39:36.348976,26,male,1.84,0.819,69.5,161.417,38.983,0.641,1.359,1.32,11
2025-04-10T09:40:10.443252,26,male,1.84,0.819,69.062,164.003,40.494,0.52,1.542,1.64,12
2025-04-10T09:40:53.292173,26,male,1.84,0.819,69.826,165.302,40.755,0.46,1.424,1.88,13
2025-04-10T09:41:40.412972,26,male,1.84,0.819,73.243,165.883,39.346,0.457,1.405,1.8,14
2025-04-10T09:42:18.036671,26,male,1.84,0.819,69.394,162.518,39.649,0.461,1.451,1.84,15
2025-04-10T09:43:14.886224,26,male,1.84,0.819,74.586,169.348,40.333,0.415,1.355,2.0,16
2025-04-10T09:44:01.011528,26,male,1.84,0.819,74.758,165.0,38.298,0.528,1.514,1.52,17
2025-04-10T09:44:47.851778,26,male,1.84,0.819,73.43,164.482,38.579,0.479,1.57,1.72,18
2025-04-10T09:45:34.643013,26,male,1.84,0.819,75.694,160.729,36.246,0.469,1.586,1.68,19
2025-04-10T09:46:17.344132,26,male,1.84,0.819,67.82,161.992,40.155,0.515,1.445,1.68,20
2025-04-10T09:47:02.505360,26,male,1.84,0.819,68.323,162.026,39.8,0.486,1.645,1.76,21
2025-04-10T09:47:48.275426,26,male,1.84,0.819,73.367,167.237,39.916,0.494,1.462,1.68,22
2025-04-10T09:48:29.432106,26,male,1.84,0.819,68.827,163.435,40.176,0.467,1.396,1.84,23
