start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,41.02,0.95,1.33,1.12,1
,,,,,,,42.63,1.01,1.35,0.84,2
,,,,,,,41.48,0.97,1.4,0.92,3
,,,,,,,40.58,0.97,1.37,0.92,4
,,,,,,,42.85,0.95,1.44,0.84,5
,,,,,,,42.29,0.95,1.41,0.84,6
,,,,,,,39.29,0.93,1.35,0.88,7
,,,,,,,41.99,0.94,1.37,0.8,8
,,,,,,,42.07,0.93,1.39,0.84,9
,,,,,,,44.42,0.96,1.41,0.84,10
