start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,60.73393,1.15912,1.5657,1.32,1
,,,,,,,55.74542,0.97067,1.48165,1.32,2
,,,,,,,55.24169,1.1436,1.5072,1.08,3
,,,,,,,60.37271,1.06259,1.58332,1.6,4
,,,,,,,55.11917,1.08291,1.50564,1.68,5
,,,,,,,54.15099,0.91603,1.47116,1.56,6
,,,,,,,53.79123,1.11282,1.65455,1.44,7
,,,,,,,51.78784,0.98804,1.54686,1.36,8
,,,,,,,50.49253,1.15222,1.55932,1.08,9
,,,,,,,51.68186,0.98106,1.64018,1.36,10
,,,,,,,52.03649,0.99047,1.29264,1.2,11
,,,,,,,51.93221,0.90935,1.56611,1.44,12
,,,,,,,54.9723,0.83793,1.3555,1.72,13
,,,,,,,52.76719,0.85943,1.42479,1.68,14
,,,,,,,50.27695,0.96612,1.2873,1.72,15
,,,,,,,47.42741,0.77332,1.18775,1.8,16
,,,,,,,48.41394,0.78912,1.33891,1.44,17
,,,,,,,53.09699,0.86609,1.24405,1.56,18
,,,,,,,50.02916,0.82762,1.76056,1.48,19
,,,,,,,51.38913,1.06473,1.44161,1.52,20
,,,,,,,53.00132,0.94504,1.52485,1.6,21
,,,,,,,57.24074,1.00932,1.30582,1.52,22
,,,,,,,61.70023,1.0133,1.44676,1.68,23
,,,,,,,60.25029,1.14206,1.53312,1.4,24
,,,,,,,57.27044,1.19984,1.43733,1.28,25
,,,,,,,52.96427,1.27558,1.46247,1.12,26
,,,,,,,60.99241,1.26361,1.84935,1.12,27
,,,,,,,65.56136,1.23847,1.71003,1.44,28
,,,,,,,33.55749,0.96218,1.47621,1.04,29
,,,,,,,38.30913,0.90998,1.37687,1.08,30
,,,,,,,35.56589,0.81373,1.51116,1.04,31
,,,,,,,46.62496,0.906,1.59436,1.08,32
,,,,,,,42.8406,0.96527,1.67896,1.08,33
,,,,,,,44.39928,1.16533,1.53374,1.0,34
,,,,,,,46.18893,1.05202,1.62018,0.96,35
,,,,,,,41.10895,1.03558,1.40915,0.88,36
,,,,,,,38.59247,0.98076,1.43245,0.88,37
,,,,,,,40.9613,0.93164,1.45781,0.96,38
,,,,,,,43.6559,0.92947,1.44035,0.92,39
,,,,,,,43.61122,0.99709,1.45969,1.0,40
,,,,,,,49.95874,1.03956,1.44477,1.04,41
,,,,,,,40.78951,0.93734,1.47318,1.0,42
,,,,,,,41.87503,0.87038,1.27206,1.08,43
,,,,,,,42.11976,1.081,1.45676,1.0,44
,,,,,,,45.7192,1.08725,1.33164,0.96,45
,,,,,,,41.3057,1.04181,1.3614,0.96,46
,,,,,,,42.53507,0.93277,1.24006,0.96,47
,,,,,,,36.77098,0.94054,1.48045,0.88,48
,,,,,,,41.70628,0.86026,1.4158,0.96,49
,,,,,,,42.98765,0.89773,1.39602,1.0,50
,,,,,,,48.08637,1.09309,1.5147,0.92,51
,,,,,,,33.62313,0.87166,1.42774,0.8,52
,,,,,,,37.92378,0.96014,1.461,0.8,53
,,,,,,,44.80312,0.97021,1.43974,0.92,54
,,,,,,,40.47785,0.93369,1.46256,0.84,55
,,,,,,,41.81676,1.09871,1.37084,0.96,56
,,,,,,,36.71783,0.94247,1.38324,0.96,57
,,,,,,,37.12253,0.84733,1.20584,0.96,58
,,,,,,,38.56617,1.08887,1.41154,0.96,59
,,,,,,,50.60234,1.05791,1.63676,1.16,60
,,,,,,,45.98563,1.17207,1.39657,1.08,61
,,,,,,,42.89301,1.17063,1.64158,0.92,62
,,,,,,,45.69797,1.04791,1.42368,1.04,63
,,,,,,,43.72704,1.00164,1.41718,1.0,64
,,,,,,,33.90155,0.8978,1.4238,0.88,65
,,,,,,,36.31089,0.912,1.42779,0.92,66
,,,,,,,44.46025,1.01485,1.34603,0.96,67
,,,,,,,46.93413,1.20331,1.66431,0.88,68
,,,,,,,34.9282,0.94867,1.3203,0.88,69
,,,,,,,40.498,0.9247,1.31471,0.84,70
