start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,38.06,0.85,1.2,1.16,1
,,,,,,,40.83,0.92,1.34,1.16,2
,,,,,,,40.75,0.95,1.43,1.04,3
,,,,,,,38.78,0.9,1.3,1.12,4
,,,,,,,39.78,0.92,1.38,1.04,5
,,,,,,,41.89,0.97,1.4,1.08,6
,,,,,,,38.03,0.89,1.38,1.0,7
,,,,,,,41.09,0.96,1.29,1.08,8
,,,,,,,41.73,0.94,1.37,0.96,9
,,,,,,,39.72,0.96,1.32,0.88,10
