start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,50.65077,0.91647,1.51879,1.28,1
,,,,,,,55.89146,0.97328,1.47659,1.36,2
,,,,,,,53.36781,0.98701,1.53258,1.12,3
,,,,,,,51.95801,0.8986,1.47341,1.6,4
,,,,,,,57.42411,1.01804,1.53847,1.64,5
,,,,,,,58.94241,0.9915,1.5783,1.48,6
,,,,,,,58.74255,0.97725,1.50417,1.48,7
,,,,,,,55.47043,0.99649,1.64243,1.32,8
,,,,,,,52.81116,0.99817,1.51017,1.08,9
,,,,,,,45.90059,1.02455,1.49942,1.24,10
,,,,,,,50.26495,0.93265,1.57311,1.16,11
,,,,,,,52.7054,0.94926,1.59189,1.44,12
,,,,,,,54.99123,0.92041,1.45019,1.64,13
,,,,,,,50.42762,0.93331,1.51581,1.64,14
,,,,,,,47.53537,0.91391,1.4712,1.72,15
,,,,,,,52.60521,0.88843,1.38761,1.84,16
,,,,,,,49.82604,0.90177,1.49391,1.4,17
,,,,,,,57.72488,0.94977,1.69689,1.56,18
,,,,,,,54.03279,1.11353,1.65865,1.48,19
,,,,,,,52.94619,0.96249,1.49351,1.52,20
,,,,,,,49.39616,0.91839,1.48168,1.6,21
,,,,,,,58.87101,0.99157,1.52154,1.52,22
,,,,,,,61.54417,0.96143,1.56728,1.68,23
,,,,,,,59.03846,0.9793,1.65935,1.44,24
,,,,,,,53.22443,0.96638,1.50383,1.24,25
,,,,,,,54.04933,1.07017,1.50116,1.12,26
,,,,,,,59.63718,1.10317,1.60401,1.16,27
,,,,,,,69.72144,1.09031,1.79279,1.36,28
,,,,,,,39.30929,0.94869,1.40237,1.0,29
,,,,,,,45.67826,1.05238,1.48913,1.16,30
,,,,,,,42.04398,0.98302,1.43557,1.04,31
,,,,,,,49.69586,0.97602,1.45064,1.12,32
,,,,,,,51.22025,0.94942,1.55648,1.08,33
,,,,,,,44.12968,0.96114,1.51394,0.96,34
,,,,,,,41.79399,0.92093,1.46282,0.88,35
,,,,,,,50.86113,1.02452,1.58732,0.96,36
,,,,,,,44.23963,0.98359,1.48503,0.88,37
,,,,,,,45.96147,0.9958,1.56364,0.96,38
,,,,,,,47.37632,1.09284,1.51815,0.96,39
,,,,,,,43.14577,0.96819,1.57814,1.0,40
,,,,,,,49.9557,0.92882,1.4475,1.04,41
,,,,,,,51.78431,0.98697,1.51298,1.08,42
,,,,,,,45.74156,0.98493,1.40731,1.04,43
,,,,,,,47.72192,1.04223,1.53248,1.04,44
,,,,,,,49.3989,1.07093,1.43231,0.96,45
,,,,,,,46.5407,1.03498,1.58429,0.92,46
,,,,,,,47.32255,0.9992,1.42806,0.96,47
,,,,,,,44.72138,0.97098,1.44075,0.88,48
,,,,,,,45.12202,1.04424,1.41899,0.96,49
,,,,,,,49.35549,0.97957,1.41938,1.0,50
,,,,,,,50.58268,1.03945,1.55777,1.0,51
,,,,,,,44.1006,1.0085,1.53021,0.84,52
,,,,,,,45.53595,1.02722,1.52337,0.84,53
,,,,,,,46.96933,0.93607,1.50155,0.92,54
,,,,,,,44.3448,0.9677,1.46699,0.84,55
,,,,,,,44.26417,0.93611,1.46081,0.92,56
,,,,,,,44.36141,0.97395,1.46996,0.96,57
,,,,,,,39.61295,0.96455,1.47654,0.92,58
,,,,,,,43.66855,1.00476,1.44604,1.04,59
,,,,,,,50.1245,0.94526,1.52256,1.2,60
,,,,,,,47.16406,0.9274,1.48158,1.04,61
,,,,,,,45.32724,1.00894,1.46879,0.92,62
,,,,,,,45.7197,1.07725,1.44932,1.04,63
,,,,,,,48.73291,1.0044,1.53983,1.0,64
,,,,,,,41.82211,0.9404,1.4761,0.88,65
,,,,,,,47.70876,0.99213,1.44963,0.96,66
,,,,,,,48.82658,0.94739,1.41673,1.0,67
,,,,,,,40.94344,0.97557,1.42582,0.88,68
,,,,,,,47.35041,0.98976,1.55618,0.96,69
,,,,,,,44.38124,0.96412,1.41968,0.8,70
,,,,,,,42.60975,0.9783,1.45476,0.88,71
,,,,,,,47.25841,1.06321,1.55838,0.88,72
,,,,,,,42.33232,1.02963,1.47496,0.88,73
,,,,,,,48.99846,0.95184,1.40173,0.96,74
,,,,,,,50.87217,1.01659,1.44693,1.04,75
,,,,,,,44.17048,1.03714,1.49333,0.96,76
,,,,,,,47.92153,1.10763,1.56554,1.0,77
,,,,,,,44.09686,0.92201,1.47011,0.92,78
,,,,,,,43.83296,0.99293,1.45437,0.96,79
,,,,,,,46.58546,0.91537,1.54991,0.96,80
,,,,,,,47.38532,0.99658,1.48258,0.96,81
,,,,,,,46.39724,0.96005,1.50288,0.92,82
,,,,,,,51.06828,0.96299,1.51264,1.0,83
,,,,,,,47.14355,0.93276,1.49661,0.92,84
,,,,,,,47.07529,0.95567,1.50796,0.88,85
,,,,,,,47.89648,1.10847,1.57104,0.96,86
