start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,50.65077,0.93447,1.46279,1.28,1
,,,,,,,55.89146,0.99128,1.42059,1.36,2
,,,,,,,53.36781,1.00501,1.47658,1.12,3
,,,,,,,51.95801,0.9166,1.41741,1.6,4
,,,,,,,57.42411,1.03604,1.48247,1.64,5
,,,,,,,58.94241,1.0095,1.5223,1.48,6
,,,,,,,58.74255,0.99525,1.44817,1.48,7
,,,,,,,55.47043,1.01449,1.58643,1.32,8
,,,,,,,52.81116,1.01617,1.45417,1.08,9
,,,,,,,45.90059,1.04255,1.44342,1.24,10
,,,,,,,50.26495,0.95065,1.51711,1.16,11
,,,,,,,52.7054,0.96726,1.53589,1.44,12
,,,,,,,54.99123,0.93841,1.39419,1.64,13
,,,,,,,50.42762,0.95131,1.45981,1.64,14
,,,,,,,47.53537,0.93191,1.4152,1.72,15
,,,,,,,52.60521,0.90643,1.33161,1.84,16
,,,,,,,49.82604,0.91977,1.43791,1.4,17
,,,,,,,57.72488,0.96777,1.64089,1.56,18
,,,,,,,54.03279,1.13153,1.60265,1.48,19
,,,,,,,52.94619,0.98049,1.43751,1.52,20
,,,,,,,49.39616,0.93639,1.42568,1.6,21
,,,,,,,58.87101,1.00957,1.46554,1.52,22
,,,,,,,61.54417,0.97943,1.51128,1.68,23
,,,,,,,59.03846,0.9973,1.60335,1.44,24
,,,,,,,53.22443,0.98438,1.44783,1.24,25
,,,,,,,54.04933,1.08817,1.44516,1.12,26
,,,,,,,59.63718,1.12117,1.54801,1.16,27
,,,,,,,69.72144,1.10831,1.73679,1.36,28
,,,,,,,39.30929,0.96669,1.34637,1.0,29
,,,,,,,45.67826,1.07038,1.43313,1.16,30
,,,,,,,42.04398,1.00102,1.37957,1.04,31
,,,,,,,49.69586,0.99402,1.39464,1.12,32
,,,,,,,51.22025,0.96742,1.50048,1.08,33
,,,,,,,44.12968,0.97914,1.45794,0.96,34
,,,,,,,41.79399,0.93893,1.40682,0.88,35
,,,,,,,50.86113,1.04252,1.53132,0.96,36
,,,,,,,44.23963,1.00159,1.42903,0.88,37
,,,,,,,45.96147,1.0138,1.50764,0.96,38
,,,,,,,47.37632,1.11084,1.46215,0.96,39
,,,,,,,43.14577,0.98619,1.52214,1.0,40
,,,,,,,49.9557,0.94682,1.3915,1.04,41
,,,,,,,51.78431,1.00497,1.45698,1.08,42
,,,,,,,45.74156,1.00293,1.35131,1.04,43
,,,,,,,47.72192,1.06023,1.47648,1.04,44
,,,,,,,49.3989,1.08893,1.37631,0.96,45
,,,,,,,46.5407,1.05298,1.52829,0.92,46
,,,,,,,47.32255,1.0172,1.37206,0.96,47
,,,,,,,44.72138,0.98898,1.38475,0.88,48
,,,,,,,45.12202,1.06224,1.36299,0.96,49
,,,,,,,49.35549,0.99757,1.36338,1.0,50
,,,,,,,50.58268,1.05745,1.50177,1.0,51
,,,,,,,44.1006,1.0265,1.47421,0.84,52
,,,,,,,45.53595,1.04522,1.46737,0.84,53
,,,,,,,46.96933,0.95407,1.44555,0.92,54
,,,,,,,44.3448,0.9857,1.41099,0.84,55
,,,,,,,44.26417,0.95411,1.40481,0.92,56
,,,,,,,44.36141,0.99195,1.41396,0.96,57
,,,,,,,39.61295,0.98255,1.42054,0.92,58
,,,,,,,43.66855,1.02276,1.39004,1.04,59
,,,,,,,50.1245,0.96326,1.46656,1.2,60
,,,,,,,47.16406,0.9454,1.42558,1.04,61
,,,,,,,45.32724,1.02694,1.41279,0.92,62
,,,,,,,45.7197,1.09525,1.39332,1.04,63
,,,,,,,48.73291,1.0224,1.48383,1.0,64
,,,,,,,41.82211,0.9584,1.4201,0.88,65
,,,,,,,47.70876,1.01013,1.39363,0.96,66
,,,,,,,48.82658,0.96539,1.36073,1.0,67
,,,,,,,40.94344,0.99357,1.36982,0.88,68
,,,,,,,47.35041,1.00776,1.50018,0.96,69
,,,,,,,44.38124,0.98212,1.36368,0.8,70
,,,,,,,42.60975,0.9963,1.39876,0.88,71
,,,,,,,47.25841,1.08121,1.50238,0.88,72
,,,,,,,42.33232,1.04763,1.41896,0.88,73
,,,,,,,48.99846,0.96984,1.34573,0.96,74
,,,,,,,50.87217,1.03459,1.39093,1.04,75
