start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,50.65077,0.74723,1.72873,1.28,1
,,,,,,,55.89146,0.83269,2.07868,1.36,2
,,,,,,,53.36781,0.81948,1.78146,1.12,3
,,,,,,,51.95801,0.71398,1.69942,1.6,4
,,,,,,,57.42411,0.86169,2.03673,1.64,5
,,,,,,,58.94241,0.85816,2.24914,1.48,6
,,,,,,,58.74255,0.80789,2.8434,1.48,7
,,,,,,,55.47043,0.83317,2.62263,1.32,8
,,,,,,,52.81116,0.85837,1.79833,1.08,9
,,,,,,,45.90059,0.91173,2.14596,1.24,10
,,,,,,,50.26495,0.73077,2.20482,1.16,11
,,,,,,,52.7054,0.72897,1.81848,1.44,12
,,,,,,,54.99123,0.67806,1.61904,1.64,13
,,,,,,,50.42762,0.70076,2.51657,1.64,14
,,,,,,,47.53537,0.72568,1.4846,1.72,15
,,,,,,,52.60521,0.67689,1.8089,1.84,16
,,,,,,,49.82604,0.66635,2.14357,1.4,17
,,,,,,,57.72488,0.75079,2.34456,1.56,18
,,,,,,,54.03279,1.07958,2.78321,1.48,19
,,,,,,,52.94619,0.85707,2.21634,1.52,20
,,,,,,,49.39616,0.71111,2.07249,1.6,21
,,,,,,,58.87101,0.85232,1.77085,1.52,22
,,,,,,,61.54417,0.81025,1.96955,1.68,23
,,,,,,,59.03846,0.84377,2.91706,1.44,24
,,,,,,,53.22443,0.80372,2.018,1.24,25
,,,,,,,54.04933,1.04425,1.91098,1.12,26
,,,,,,,59.63718,1.07075,2.96842,1.16,27
,,,,,,,69.72144,1.0423,2.92105,1.36,28
,,,,,,,39.30929,0.77928,2.16059,1.0,29
,,,,,,,45.67826,0.9972,1.80867,1.16,30
,,,,,,,42.04398,0.83583,3.13976,1.04,31
,,,,,,,49.69586,0.80516,1.87248,1.12,32
,,,,,,,51.22025,0.82922,2.39936,1.08,33
,,,,,,,44.12968,0.82366,2.21154,0.96,34
,,,,,,,41.79399,0.7686,2.23678,0.88,35
,,,,,,,50.86113,0.93016,2.30102,0.96,36
,,,,,,,44.23963,0.81837,1.72275,0.88,37
,,,,,,,45.96147,0.88725,2.02114,0.96,38
,,,,,,,47.37632,1.07096,2.82524,0.96,39
,,,,,,,43.14577,0.77707,1.93436,1.0,40
,,,,,,,49.9557,0.76163,1.82206,1.04,41
,,,,,,,51.78431,0.83831,1.83401,1.08,42
,,,,,,,45.74156,0.82079,1.49688,1.04,43
,,,,,,,47.72192,1.00328,2.61026,1.04,44
,,,,,,,49.3989,0.98437,1.53141,0.96,45
,,,,,,,46.5407,0.92865,2.1582,0.92,46
,,,,,,,47.32255,0.84809,1.77029,0.96,47
,,,,,,,44.72138,0.79966,2.00752,0.88,48
,,,,,,,45.12202,0.92974,1.79318,0.96,49
,,,,,,,49.35549,0.80419,1.33201,1.0,50
,,,,,,,50.58268,0.97853,1.75636,1.0,51
,,,,,,,44.1006,0.87913,2.4991,0.84,52
,,,,,,,45.53595,0.90651,2.16,0.84,53
,,,,,,,46.96933,0.7494,1.99107,0.92,54
,,,,,,,44.3448,0.79459,1.92209,0.84,55
,,,,,,,44.26417,0.72696,1.84626,0.92,56
,,,,,,,44.36141,0.79566,1.75474,0.96,57
,,,,,,,39.61295,0.83596,1.61994,0.92,58
,,,,,,,43.66855,0.86852,2.14158,1.04,59
,,,,,,,50.1245,0.76156,2.68159,1.2,60
,,,,,,,47.16406,0.73509,1.82086,1.04,61
,,,,,,,45.32724,0.89998,1.66919,0.92,62
,,,,,,,45.7197,1.02269,1.59002,1.04,63
,,,,,,,48.73291,0.93543,2.87116,1.0,64
,,,,,,,41.82211,0.7471,1.67308,0.88,65
,,,,,,,47.70876,0.8903,1.81655,0.96,66
,,,,,,,48.82658,0.75507,1.66484,1.0,67
,,,,,,,40.94344,0.80629,1.73925,0.88,68
,,,,,,,47.35041,0.84667,1.67701,0.96,69
