start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,40.80317,0.59459,1.50924,1.36,1
,,,,,,,43.82618,0.58383,1.29578,1.4,2
,,,,,,,37.98489,0.64293,1.45971,1.16,3
,,,,,,,41.01148,0.45086,1.41901,1.72,4
,,,,,,,39.41801,0.45775,1.4969,1.64,5
,,,,,,,41.17572,0.50633,1.48588,1.56,6
,,,,,,,43.46407,0.51471,1.33089,1.6,7
,,,,,,,40.37579,0.52844,1.53027,1.44,8
,,,,,,,37.88043,0.66544,1.35711,1.12,9
,,,,,,,40.75356,0.56003,1.70381,1.36,10
,,,,,,,37.92593,0.58371,1.45016,1.24,11
,,,,,,,39.41791,0.48848,1.37777,1.56,12
,,,,,,,39.03783,0.41969,1.47806,1.76,13
,,,,,,,41.11231,0.44374,1.34548,1.76,14
,,,,,,,36.58736,0.40715,1.34341,1.8,15
,,,,,,,37.60613,0.38157,1.25017,1.92,16
,,,,,,,38.65346,0.5002,1.41209,1.48,17
,,,,,,,40.58935,0.4658,1.44545,1.68,18
,,,,,,,39.33622,0.47676,1.64326,1.6,19
,,,,,,,38.93743,0.48658,1.57964,1.56,20
,,,,,,,37.44092,0.43407,1.5302,1.68,21
,,,,,,,41.2212,0.48779,1.29118,1.64,22
,,,,,,,43.3771,0.47122,1.49319,1.8,23
,,,,,,,42.54043,0.52315,1.66839,1.56,24
,,,,,,,38.84104,0.59226,1.54144,1.28,25
,,,,,,,38.65224,0.60912,1.39684,1.2,26
,,,,,,,42.91439,0.72744,1.68406,1.16,27
,,,,,,,49.26961,0.63915,1.63442,1.48,28
,,,,,,,32.02077,0.50694,1.33477,1.16,29
,,,,,,,33.07448,0.53367,1.28175,1.16,30
,,,,,,,32.38392,0.51202,1.29905,1.16,31
,,,,,,,35.24734,0.56891,1.44114,1.16,32
,,,,,,,37.05347,0.59491,1.59149,1.16,33
,,,,,,,37.07128,0.6521,1.39904,1.04,34
,,,,,,,34.10989,0.65825,1.60902,0.96,35
,,,,,,,34.29611,0.65499,1.49869,0.96,36
,,,,,,,28.50834,0.60918,1.3682,0.92,37
,,,,,,,30.89568,0.60073,1.438,1.0,38
,,,,,,,32.13161,0.63947,1.3776,0.96,39
,,,,,,,33.19714,0.58187,1.42059,1.08,40
,,,,,,,36.99773,0.64026,1.42611,1.08,41
,,,,,,,30.75518,0.55221,1.28705,1.08,42
