start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,31.30377,0.52911,1.26886,1.12,43
,,,,,,,31.29124,0.5587,1.53262,1.08,44
,,,,,,,33.40588,0.61407,1.48291,1.0,45
,,,,,,,31.66892,0.60905,1.53181,1.0,46
,,,,,,,30.65302,0.58317,1.32832,1.0,47
,,,,,,,29.52098,0.63992,1.39439,0.88,48
,,,,,,,33.37921,0.59651,1.51716,1.04,49
,,,,,,,32.60749,0.61919,1.53421,1.0,50
,,,,,,,36.91043,0.72596,1.53377,0.96,51
,,,,,,,28.83026,0.64722,1.43087,0.84,52
,,,,,,,29.19606,0.64951,1.4241,0.84,53
,,,,,,,31.11402,0.6189,1.44735,0.96,54
,,,,,,,32.90957,0.65941,1.36507,0.92,55
,,,,,,,33.53071,0.61608,1.48312,1.0,56
,,,,,,,29.09762,0.55408,1.6219,1.0,57
,,,,,,,29.81611,0.57248,1.42788,0.96,58
,,,,,,,29.79554,0.54691,1.5382,1.04,59
,,,,,,,35.088,0.56386,1.388,1.16,60
,,,,,,,32.84816,0.56425,1.51759,1.12,61
,,,,,,,30.90174,0.59479,1.36639,1.0,62
,,,,,,,33.16613,0.60456,1.55337,1.04,63
,,,,,,,31.84958,0.60229,1.37662,1.0,64
,,,,,,,28.07764,0.59955,1.40237,0.92,65
,,,,,,,33.75972,0.6241,1.40746,1.0,66
,,,,,,,32.95625,0.61427,1.38705,1.0,67
,,,,,,,34.19581,0.67894,1.3947,0.92,68
,,,,,,,31.06106,0.61095,1.50004,0.92,69
,,,,,,,31.56481,0.63271,1.43208,0.92,70
,,,,,,,33.34632,0.63748,1.52838,0.96,71
,,,,,,,29.90366,0.64349,1.44258,0.88,72
,,,,,,,30.60998,0.62662,1.29591,0.92,73
,,,,,,,29.81418,0.5754,1.16732,0.96,74
,,,,,,,35.23295,0.61433,1.29364,1.04,75
,,,,,,,34.68238,0.61388,1.52322,1.04,76
,,,,,,,32.29153,0.59027,1.5094,1.04,77
,,,,,,,35.40577,0.64036,1.41144,1.0,78
,,,,,,,29.66573,0.59435,1.33343,0.96,79
,,,,,,,33.36139,0.64398,1.47821,1.0,80
,,,,,,,30.36229,0.59982,1.29331,0.96,81
,,,,,,,30.86546,0.63424,1.56395,0.92,82
,,,,,,,34.94765,0.63591,1.20077,1.0,83
,,,,,,,33.7976,0.67841,1.26593,0.92,84
,,,,,,,31.86109,0.63994,1.30908,0.96,85
,,,,,,,34.22861,0.63301,1.42858,1.0,86
,,,,,,,29.26263,0.59151,1.44384,0.96,87
,,,,,,,33.89964,0.67852,1.23112,0.92,88
,,,,,,,31.73315,0.6311,1.31076,0.92,89
,,,,,,,31.46073,0.64487,1.25363,0.92,90
,,,,,,,33.85965,0.61946,1.40942,1.0,91
,,,,,,,33.21636,0.60249,1.2449,1.04,92
,,,,,,,32.49263,0.61126,1.13842,1.0,93
,,,,,,,32.42163,0.59642,1.32293,1.04,94
,,,,,,,33.83661,0.64247,1.45821,1.0,95
,,,,,,,29.27897,0.60722,1.43607,0.92,96
,,,,,,,41.37716,0.67078,1.5259,1.16,97
,,,,,,,37.63507,0.62847,1.44941,1.12,98
,,,,,,,32.48548,0.62926,1.61059,1.0,99
,,,,,,,36.69852,0.62518,1.62658,1.12,100
