start_datetime,age,gender,height (m),effective_length (m),min_displacement (m),max_displacement (m),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
,,,,,,,40.67382,0.59269,1.50924,1.36,1
,,,,,,,38.75379,0.57155,1.29578,1.32,2
,,,,,,,36.96447,0.63072,1.45971,1.12,3
,,,,,,,40.4975,0.452,1.41901,1.68,4
,,,,,,,39.08,0.45363,1.4969,1.64,5
,,,,,,,40.48204,0.50735,1.48588,1.52,6
,,,,,,,42.77098,0.51093,1.33089,1.56,7
,,,,,,,39.9239,0.53232,1.53027,1.4,8
,,,,,,,37.41879,0.66276,1.35711,1.08,9
,,,,,,,35.4053,0.53299,1.70381,1.28,10
,,,,,,,37.65084,0.58349,1.45016,1.2,11
,,,,,,,39.13012,0.49093,1.37777,1.52,12
,,,,,,,38.90066,0.42489,1.47806,1.72,13
,,,,,,,35.53983,0.42172,1.34548,1.64,14
,,,,,,,36.38752,0.3974,1.34341,1.76,15
,,,,,,,37.26568,0.37668,1.25017,1.88,16
,,,,,,,38.58845,0.50429,1.41209,1.44,17
,,,,,,,40.48047,0.46877,1.44545,1.64,18
,,,,,,,38.81031,0.47043,1.64326,1.56,19
,,,,,,,37.86687,0.47755,1.57964,1.52,20
,,,,,,,37.15316,0.43456,1.5302,1.64,21
,,,,,,,40.78589,0.50011,1.29118,1.56,22
,,,,,,,43.02398,0.47137,1.49319,1.76,23
,,,,,,,42.23003,0.52743,1.66839,1.52,24
,,,,,,,37.90792,0.57768,1.54144,1.28,25
,,,,,,,37.98513,0.61025,1.39684,1.16,26
,,,,,,,42.04755,0.71249,1.68406,1.16,27
,,,,,,,48.6173,0.63941,1.63442,1.44,28
,,,,,,,26.29808,0.47969,1.3068,1.08,29
,,,,,,,32.62369,0.55084,1.28175,1.08,30
,,,,,,,26.89862,0.47544,1.29905,1.08,31
,,,,,,,34.9742,0.57627,1.44114,1.12,32
