start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-08T10:14:08.065850,21,male,1.84,0.781,113.912,168.161,17.131,0.377,3.269,1.1,1
2025-04-08T10:14:40.432009,21,male,1.84,0.781,108.476,169.837,20.495,0.292,2.175,1.367,2
2025-04-08T10:15:06.190829,21,male,1.84,0.781,107.446,169.705,20.606,0.347,1.927,1.433,3
2025-04-08T10:15:30.817522,21,male,1.84,0.781,106.524,169.559,20.789,0.288,1.816,1.467,4
2025-04-08T10:15:50.382276,21,male,1.84,0.781,104.738,165.172,20.093,0.47,3.3,1.2,5
2025-04-08T10:16:19.594151,21,male,1.84,0.781,104.081,167.48,21.64,0.349,2.675,1.733,6
2025-04-08T10:16:45.655100,21,male,1.84,0.781,112.163,169.922,18.873,0.256,1.487,1.633,7
