start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-08T10:30:04.849549,21,male,1.84,0.781,103.215,169.461,46.699,0.695,1.228,1.3,1
2025-04-08T10:31:10.509737,21,male,1.84,0.781,117.443,153.311,25.777,0.677,1.199,1.133,2
2025-04-08T10:32:32.187039,21,male,1.84,0.781,111.672,169.853,40.3,0.655,0.853,1.2,3
2025-04-08T10:34:10.757596,21,male,1.84,0.781,107.497,164.551,37.465,0.674,1.078,1.167,4
2025-04-08T10:35:43.089310,21,male,1.84,0.781,102.852,168.463,45.671,0.581,0.894,1.467,5
2025-04-08T10:37:07.112139,21,male,1.84,0.781,101.37,163.673,42.905,0.557,1.082,1.233,6
2025-04-08T10:38:57.152475,21,male,1.84,0.781,112.28,169.708,39.101,0.537,0.861,1.433,7
