start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-08T10:18:28.343615,21,male,1.84,0.781,103.215,169.461,22.393,0.368,2.436,1.3,1
2025-04-08T10:19:30.936898,21,male,1.84,0.781,117.443,153.311,12.361,0.359,2.379,1.133,2
2025-04-08T10:20:40.925996,21,male,1.84,0.781,111.672,169.853,19.324,0.347,1.693,1.2,3
2025-04-08T10:21:09.503864,21,male,1.84,0.781,107.497,164.551,17.965,0.357,2.14,1.167,4
2025-04-08T10:21:57.912586,21,male,1.84,0.781,102.852,168.463,21.9,0.308,1.774,1.467,5
2025-04-08T10:23:01.047234,21,male,1.84,0.781,101.37,163.673,20.574,0.295,2.147,1.233,6
2025-04-08T10:24:19.525243,21,male,1.84,0.781,112.28,169.708,18.75,0.284,1.708,1.433,7
