start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T12:59:44.572562,21,male,1.68,0.741,31.099,154.441,38.412,0.658,3.3,0.64,1
2025-04-04T13:00:31.622940,21,male,1.68,0.741,58.988,165.268,38.101,0.933,3.3,0.44,2
2025-04-04T13:01:24.932656,21,male,1.68,0.741,78.739,156.935,23.894,1.839,3.3,0.2,3
2025-04-04T13:02:28.033457,21,male,1.68,0.741,26.237,169.289,43.237,1.072,3.3,0.52,4
2025-04-04T13:03:30.304972,21,male,1.68,0.741,37.968,166.862,38.991,1.221,3.3,0.48,5
2025-04-04T13:04:26.364739,21,male,1.68,0.741,45.308,168.186,39.049,1.419,3.3,0.4,6
2025-04-04T13:05:17.024995,21,male,1.68,0.741,62.102,168.462,32.318,0.763,2.492,0.44,7
2025-04-04T13:06:41.757874,21,male,1.68,0.741,42.939,167.062,38.563,1.537,3.3,0.4,8
2025-04-04T13:07:54.399288,21,male,1.68,0.741,36.658,164.939,38.496,1.224,3.3,0.44,9
