start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T08:57:25.932362,21,male,1.68,0.274,89.336,147.612,29.461,1.733,1.833,0.4,1
2025-04-04T08:57:55.751452,21,male,1.68,0.274,82.252,151.423,35.511,2.08,2.18,0.4,2
2025-04-04T08:58:16.829876,21,male,1.68,0.274,85.104,148.808,33.02,1.816,1.916,0.44,3
2025-04-04T08:58:41.157889,21,male,1.68,0.274,82.003,151.083,35.536,1.927,2.027,0.44,4
2025-04-04T08:59:05.052983,21,male,1.68,0.274,86.083,143.452,29.85,1.821,1.921,0.4,5
2025-04-04T08:59:27.932413,21,male,1.68,0.274,75.506,143.271,34.545,2.415,2.603,0.36,6
2025-04-04T08:59:48.390669,21,male,1.68,0.274,90.964,148.019,29.485,1.752,1.992,0.4,7
2025-04-04T09:00:04.215704,21,male,1.68,0.274,89.406,139.899,27.026,1.64,1.74,0.4,8
2025-04-04T09:00:16.354073,21,male,1.68,0.274,79.572,145.115,34.132,1.825,1.925,0.44,9
2025-04-04T09:00:41.488760,21,male,1.68,0.274,82.222,142.143,31.589,2.019,2.119,0.4,10
