start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T08:43:36.694783,21,male,1.68,0.274,86.24,148.294,31.566,1.292,1.392,0.56,1
2025-04-04T08:43:53.456168,21,male,1.68,0.274,91.796,148.604,28.998,1.229,1.411,0.52,2
2025-04-04T08:44:10.032908,21,male,1.68,0.274,90.438,143.355,27.019,1.237,1.337,0.56,3
2025-04-04T08:44:27.165450,21,male,1.68,0.274,97.002,142.795,23.302,1.195,1.283,0.48,4
2025-04-04T08:44:44.270546,21,male,1.68,0.274,98.213,150.467,26.383,1.186,1.286,0.52,5
2025-04-04T08:45:02.440293,21,male,1.68,0.274,96.096,140.884,21.663,1.118,1.218,0.48,6
2025-04-04T08:45:23.744848,21,male,1.68,0.274,94.376,147.818,25.914,1.196,1.296,0.52,7
2025-04-04T08:45:43.391921,21,male,1.68,0.274,96.017,148.788,27.124,1.209,1.309,0.48,8
2025-04-04T08:46:04.581589,21,male,1.68,0.274,94.118,141.66,25.06,1.303,1.403,0.48,9
2025-04-04T08:46:23.503596,21,male,1.68,0.274,96.467,147.576,24.58,1.176,1.276,0.48,10
2025-04-04T08:46:42.869786,21,male,1.68,0.274,98.852,150.076,26.591,1.138,1.274,0.52,11
2025-04-04T08:47:16.149748,21,male,1.68,0.274,95.423,146.457,25.89,1.226,1.291,0.48,12
2025-04-04T08:47:59.271215,21,male,1.68,0.274,92.218,145.634,27.119,1.304,1.404,0.48,13
