start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T09:11:24.888963,21,male,1.68,0.274,91.146,147.357,25.296,0.645,0.901,0.52,1
2025-04-04T09:11:52.355902,21,male,1.68,0.274,92.164,150.951,25.893,0.631,0.892,0.52,2
2025-04-04T09:12:29.328217,21,male,1.68,0.274,96.878,150.637,23.413,0.601,0.884,0.52,3
2025-04-04T09:13:04.663096,21,male,1.68,0.274,90.389,139.345,22.022,0.577,0.94,0.48,4
2025-04-04T09:13:46.557893,21,male,1.68,0.274,95.803,148.28,21.951,0.619,0.986,0.44,5
2025-04-04T09:14:27.184547,21,male,1.68,0.274,99.395,147.998,20.042,0.547,1.023,0.48,6
2025-04-04T09:15:03.625944,21,male,1.68,0.274,98.111,151.298,23.283,0.605,0.932,0.48,7
2025-04-04T09:15:46.683730,21,male,1.68,0.274,95.853,149.71,23.576,0.588,0.799,0.44,8
2025-04-04T09:16:24.596181,21,male,1.68,0.274,96.074,151.905,24.646,0.638,0.888,0.48,9
2025-04-04T09:17:06.711085,21,male,1.68,0.274,94.932,139.273,18.189,0.575,1.072,0.44,10
2025-04-04T09:17:46.551285,21,male,1.68,0.274,95.2,142.944,20.98,0.641,0.846,0.44,11
2025-04-04T09:18:17.343080,21,male,1.68,0.274,96.38,148.002,22.859,0.594,0.835,0.44,12
2025-04-04T09:18:44.399695,21,male,1.68,0.274,98.883,151.07,23.371,0.54,0.851,0.44,13
2025-04-04T09:19:33.182668,21,male,1.68,0.274,97.402,147.372,21.058,0.585,0.954,0.48,14
2025-04-04T09:20:44.006236,21,male,1.68,0.274,93.383,143.429,21.834,0.588,0.837,0.44,15
