start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-03T07:58:03.621559,21,male,1.84,0.781,145.241,167.771,13.938,0.49,0.778,1.0,1
2025-04-03T07:58:35.461085,21,male,1.84,0.781,147.399,168.362,13.633,0.425,0.8,0.92,2
2025-04-03T07:58:56.902795,21,male,1.84,0.781,142.611,168.691,16.369,0.572,0.794,0.88,3
2025-04-03T07:59:16.915603,21,male,1.84,0.781,141.912,168.676,16.851,0.498,0.643,0.84,4
2025-04-03T07:59:37.276163,21,male,1.84,0.781,140.694,167.588,16.779,0.504,0.774,0.88,5
2025-04-03T07:59:57.193536,21,male,1.84,0.781,142.869,167.582,15.4,0.489,0.615,0.8,6
2025-04-03T08:00:16.536488,21,male,1.84,0.781,139.722,168.257,18.297,0.542,0.83,0.84,7
2025-04-03T08:00:36.553744,21,male,1.84,0.781,141.085,169.964,18.813,0.56,0.918,0.8,8
2025-04-03T08:00:56.696002,21,male,1.84,0.781,138.162,169.723,20.712,0.605,0.865,0.88,9
2025-04-03T08:01:15.361409,21,male,1.84,0.781,139.902,166.33,16.557,0.563,0.862,0.8,10
