start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T08:08:36.330942,21,male,1.68,0.741,99.38,164.668,40.172,1.294,1.632,0.92,1
2025-04-04T08:08:54.687409,21,male,1.68,0.741,100.834,165.906,39.605,1.197,1.601,0.96,2
2025-04-04T08:09:12.328770,21,male,1.68,0.741,96.091,169.217,44.714,1.228,1.266,1.0,3
2025-04-04T08:09:29.414870,21,male,1.68,0.741,90.732,169.579,48.217,1.379,1.65,1.0,4
2025-04-04T08:09:48.621619,21,male,1.68,0.741,90.795,160.385,42.045,1.332,1.713,0.96,5
2025-04-04T08:10:08.041358,21,male,1.68,0.741,95.07,166.185,43.514,1.255,1.575,0.96,6
2025-04-04T08:10:28.932989,21,male,1.68,0.741,92.594,169.796,47.461,1.357,1.616,0.96,7
2025-04-04T08:10:47.452789,21,male,1.68,0.741,91.934,160.642,41.502,1.325,2.023,0.92,8
2025-04-04T08:11:07.402909,21,male,1.68,0.741,91.672,167.228,46.286,1.362,1.462,0.96,9
2025-04-04T08:11:29.606220,21,male,1.68,0.741,91.905,159.649,40.4,1.35,1.87,0.92,10
