start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T12:48:22.347091,21,male,1.68,0.385,117.383,146.981,9.77,0.641,1.387,0.36,1
2025-04-04T12:49:11.757873,21,male,1.68,0.385,112.819,157.737,16.375,0.688,1.438,0.48,2
2025-04-04T12:49:56.413693,21,male,1.68,0.385,107.691,148.316,13.809,0.671,1.627,0.48,3
2025-04-04T12:50:12.088358,21,male,1.68,0.385,102.214,143.108,14.374,0.728,1.446,0.48,4
2025-04-04T12:50:33.054352,21,male,1.68,0.385,107.696,148.4,13.946,0.812,1.7,0.4,5
2025-04-04T12:51:14.533822,21,male,1.68,0.385,101.318,144.157,14.984,0.922,1.584,0.4,6
2025-04-04T12:52:04.437171,21,male,1.68,0.385,102.682,154.827,18.25,0.99,1.668,0.4,7
2025-04-04T12:53:04.756325,21,male,1.68,0.385,107.215,157.066,17.533,0.904,1.224,0.4,8
2025-04-04T12:54:05.675362,21,male,1.68,0.385,106.584,156.81,17.924,0.938,1.545,0.4,9
2025-04-04T12:55:05.818591,21,male,1.68,0.385,113.208,154.869,14.29,0.852,1.321,0.36,10
2025-04-04T12:56:18.817703,21,male,1.68,0.385,92.996,143.412,17.551,1.036,1.337,0.4,11
