start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T12:39:07.418863,21,male,1.68,0.385,124.966,154.686,11.619,1.02,1.298,0.24,1
2025-04-04T12:39:43.833989,21,male,1.68,0.385,106.254,154.802,18.733,1.103,1.312,0.36,2
2025-04-04T12:40:56.092548,21,male,1.68,0.385,106.709,157.708,18.359,1.075,1.109,0.36,3
2025-04-04T12:42:27.235074,21,male,1.68,0.385,93.133,157.173,22.056,1.114,1.371,0.44,4
2025-04-04T12:43:15.201591,21,male,1.68,0.385,116.491,153.766,13.454,0.706,0.737,0.4,5
2025-04-04T12:44:06.803973,21,male,1.68,0.385,96.991,155.174,20.599,1.005,1.05,0.44,6
2025-04-04T12:44:53.974468,21,male,1.68,0.385,89.781,153.005,22.563,1.167,1.354,0.44,7
2025-04-04T12:45:44.324204,21,male,1.68,0.385,92.222,154.006,21.768,1.153,1.308,0.4,8
2025-04-04T12:46:51.323536,21,male,1.68,0.385,103.538,157.085,18.96,0.929,1.151,0.44,9
2025-04-04T12:47:57.045264,21,male,1.68,0.385,96.269,148.767,19.148,1.026,1.449,0.4,10
2025-04-04T12:48:54.879130,21,male,1.68,0.385,93.238,143.945,19.222,1.225,1.431,0.36,11
