start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-09T12:47:54.848535,21,male,1.84,0.706,49.339,95.599,25.108,2.6,3.3,0.16,1
2025-04-09T12:50:19.144119,21,male,1.84,0.706,29.506,107.633,39.697,2.6,3.3,0.24,2
2025-04-09T12:52:50.910031,21,male,1.84,0.706,58.553,139.105,41.803,2.6,3.3,0.24,3
2025-04-09T12:54:52.675449,21,male,1.84,0.706,41.332,135.262,49.544,2.6,3.3,0.24,4
2025-04-09T12:56:39.835040,21,male,1.84,0.706,62.111,119.822,29.406,2.6,3.3,0.24,5
2025-04-09T12:59:25.724663,21,male,1.84,0.706,58.186,114.37,27.198,2.6,3.3,0.2,6
2025-04-09T13:01:30.806270,21,male,1.84,0.706,78.648,128.643,21.651,2.548,2.928,0.28,7
2025-04-09T13:03:02.444559,21,male,1.84,0.706,52.627,136.488,42.278,2.6,3.3,0.28,8
2025-04-09T13:04:15.627055,21,male,1.84,0.706,48.535,123.548,31.747,2.6,3.131,0.28,9
2025-04-09T13:05:19.863075,21,male,1.84,0.706,61.497,136.966,31.658,2.6,3.3,0.16,10
2025-04-09T13:06:18.451720,21,male,1.84,0.706,63.173,136.438,34.232,2.6,3.043,0.28,11
