start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-06T12:06:35.099291,21,male,1.68,0.668,77.789,131.097,25.077,1.532,1.632,0.4,1
2025-04-06T12:07:37.742102,21,male,1.68,0.668,78.45,135.356,27.205,1.697,1.797,0.4,2
2025-04-06T12:08:25.344729,21,male,1.68,0.668,66.625,138.801,34.779,2.413,2.513,0.4,3
2025-04-06T12:09:55.054703,21,male,1.68,0.668,71.698,126.681,26.07,2.057,2.157,0.4,4
2025-04-06T12:11:24.231479,21,male,1.68,0.668,71.81,137.908,30.872,1.568,1.668,0.52,5
2025-04-06T12:12:44.786180,21,male,1.68,0.668,74.394,135.948,28.489,1.475,1.575,0.56,6
2025-04-06T12:13:46.759541,21,male,1.68,0.668,70.945,129.068,26.795,1.345,1.445,0.6,7
2025-04-06T12:14:51.931994,21,male,1.68,0.668,72.926,127.161,25.12,1.338,1.438,0.52,8
2025-04-06T12:15:53.983931,21,male,1.68,0.668,76.852,138.072,29.199,1.45,1.55,0.56,9
2025-04-06T12:16:51.105928,21,male,1.68,0.668,69.925,129.864,27.994,1.577,1.677,0.52,10
2025-04-06T12:17:37.052293,21,male,1.68,0.668,64.942,138.339,34.444,2.091,2.191,0.44,11
2025-04-06T12:18:43.318222,21,male,1.68,0.668,69.372,133.837,30.335,1.352,1.452,0.64,12
2025-04-06T12:20:24.777205,21,male,1.68,0.668,65.084,137.119,33.871,1.348,1.88,0.72,13
2025-04-06T12:21:04.240022,21,male,1.68,0.668,68.799,139.663,33.332,1.414,1.722,0.64,14
2025-04-06T12:22:41.512170,21,male,1.68,0.668,63.309,139.317,35.935,1.353,1.98,0.72,15
