start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-09T13:17:32.411740,21,male,1.84,0.706,38.285,88.273,84.099,1.703,2.331,0.68,1
2025-04-09T13:18:27.240632,21,male,1.84,0.706,35.884,103.131,113.906,2.042,2.896,0.72,2
2025-04-09T13:19:31.434732,21,male,1.84,0.706,44.225,105.908,104.056,1.992,2.893,0.76,3
2025-04-09T13:20:33.408296,21,male,1.84,0.706,44.926,107.975,105.465,2.025,2.92,0.76,4
2025-04-09T13:21:43.809111,21,male,1.84,0.706,39.773,105.194,110.048,1.958,2.99,0.76,5
2025-04-09T13:22:41.312208,21,male,1.84,0.706,40.079,108.016,114.043,2.01,2.883,0.8,6
2025-04-09T13:23:28.007005,21,male,1.84,0.706,43.28,109.096,110.706,2.015,2.855,0.76,7
2025-04-09T13:24:17.255762,21,male,1.84,0.706,39.98,108.968,116.599,2.059,2.961,0.76,8
2025-04-09T13:25:03.271126,21,male,1.84,0.706,39.667,108.692,116.263,2.102,2.905,0.8,9
2025-04-09T13:25:56.719477,21,male,1.84,0.706,43.613,109.11,110.031,1.943,2.927,0.8,10
2025-04-09T13:26:54.135716,21,male,1.84,0.706,41.42,112.282,118.617,2.005,2.886,0.84,11
2025-04-09T13:27:53.915449,21,male,1.84,0.706,43.565,114.352,120.193,2.079,3.3,0.8,12
