start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-06T12:26:00.534943,21,male,1.68,0.668,52.927,156.256,177.744,2.6,3.3,0.4,1
2025-04-06T12:26:47.599169,21,male,1.68,0.668,54.619,163.808,193.294,2.6,3.3,0.56,2
2025-04-06T12:27:14.689655,21,male,1.68,0.668,39.403,39.403,0.0,0.0,0.0,0.0,3
2025-04-06T12:28:28.061845,21,male,1.68,0.668,41.358,164.681,213.956,2.6,3.3,0.64,4
2025-04-06T12:29:16.683434,21,male,1.68,0.668,47.719,167.066,206.012,2.6,3.3,0.64,5
2025-04-06T12:30:04.275822,21,male,1.68,0.668,42.123,164.567,210.357,2.6,3.3,0.6,6
2025-04-06T12:30:55.447959,21,male,1.68,0.668,47.946,167.25,208.535,2.6,3.3,0.68,7
2025-04-06T12:31:43.902502,21,male,1.68,0.668,40.461,169.116,221.322,2.6,3.3,0.64,8
2025-04-06T12:32:32.468571,21,male,1.68,0.668,55.562,166.024,190.823,2.6,3.3,0.64,9
2025-04-06T12:33:22.928471,21,male,1.68,0.668,53.545,167.35,200.021,2.6,3.3,0.64,10
2025-04-06T12:34:14.251543,21,male,1.68,0.668,45.041,167.364,211.226,2.6,3.3,0.68,11
2025-04-06T12:35:07.408109,21,male,1.68,0.668,57.47,169.411,200.645,2.6,3.3,0.72,12
