start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-06T12:26:13.594507,21,male,1.68,0.668,49.544,163.346,165.242,2.6,3.3,0.4,1
2025-04-06T12:27:06.364809,21,male,1.68,0.668,58.521,167.222,189.282,2.6,3.3,0.64,2
2025-04-06T12:28:00.704040,21,male,1.68,0.668,37.518,174.121,235.191,2.6,3.3,0.8,3
2025-04-06T12:28:49.726663,21,male,1.68,0.668,46.649,169.237,214.585,2.6,3.3,0.68,4
2025-04-06T12:29:38.633910,21,male,1.68,0.668,41.497,173.038,218.929,2.6,3.3,0.68,5
2025-04-06T12:30:29.999347,21,male,1.68,0.668,49.252,175.62,200.807,2.6,3.3,0.68,6
2025-04-06T12:31:21.147491,21,male,1.68,0.668,46.095,171.91,214.585,2.6,3.3,0.72,7
2025-04-06T12:32:11.082998,21,male,1.68,0.668,35.771,171.776,226.024,2.6,3.3,0.72,8
2025-04-06T12:33:00.013280,21,male,1.68,0.668,60.155,171.439,171.444,2.6,3.3,0.64,9
2025-04-06T12:33:50.961478,21,male,1.68,0.668,60.114,172.233,191.899,2.6,3.3,0.68,10
2025-04-06T12:34:41.063906,21,male,1.68,0.668,54.802,172.15,198.71,2.6,3.3,0.64,11
