start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T08:21:40.212871,21,male,1.68,0.255,42.245,147.845,56.388,1.683,2.07,0.92,1
2025-04-04T08:22:00.194972,21,male,1.68,0.255,46.28,154.642,57.887,0.913,2.148,1.88,2
2025-04-04T08:22:17.687903,21,male,1.68,0.255,45.512,151.056,56.38,1.11,1.75,1.52,3
2025-04-04T08:22:35.981164,21,male,1.68,0.255,47.927,154.456,56.679,0.945,2.261,1.76,4
2025-04-04T08:22:53.324697,21,male,1.68,0.255,49.304,159.268,58.601,1.087,2.015,1.6,5
2025-04-04T08:23:10.422920,21,male,1.68,0.255,39.396,156.81,62.734,1.202,1.986,1.52,6
2025-04-04T08:23:28.898062,21,male,1.68,0.255,44.748,156.352,59.592,1.097,2.167,1.6,7
2025-04-04T08:23:46.403656,21,male,1.68,0.255,44.704,157.865,60.275,1.261,2.023,1.4,8
2025-04-04T08:24:03.986537,21,male,1.68,0.255,42.809,163.753,64.617,1.201,2.148,1.56,9
2025-04-04T08:24:20.241076,21,male,1.68,0.255,43.999,158.677,61.129,1.227,2.158,1.44,10
