start_datetime,age,gender,height (m),effective_length (m),min_angle (°),max_angle (°),ROM (cm),VMED (m/s),VMAX (m/s),rep_time,repetition
2025-04-04T08:17:32.225344,21,male,1.68,0.255,40.227,147.767,57.412,1.466,1.566,1.04,1
2025-04-04T08:17:48.460303,21,male,1.68,0.255,38.046,152.977,61.925,1.373,1.734,1.32,2
2025-04-04T08:18:09.758945,21,male,1.68,0.255,44.963,156.478,59.414,0.847,2.447,2.04,3
2025-04-04T08:18:30.450633,21,male,1.68,0.255,45.325,154.904,58.264,0.907,2.166,1.88,4
2025-04-04T08:18:55.129766,21,male,1.68,0.255,44.367,154.026,58.433,0.89,2.145,1.96,5
2025-04-04T08:19:13.732310,21,male,1.68,0.255,41.846,157.799,62.014,1.044,2.147,1.72,6
2025-04-04T08:19:32.482300,21,male,1.68,0.255,36.6,158.374,65.599,1.064,2.27,1.84,7
2025-04-04T08:19:51.453228,21,male,1.68,0.255,46.354,160.978,60.837,0.971,2.069,1.84,8
2025-04-04T08:20:12.169460,21,male,1.68,0.255,45.437,161.889,61.772,1.034,2.095,1.76,9
2025-04-04T08:20:31.869588,21,male,1.68,0.255,46.547,159.027,59.93,1.06,2.148,1.68,10
